developer,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01
dev_ElijahLynn,0,0,0,0,0,0,0,4,0,0,0,0
dev_donni106,0,0,0,0,0,0,1,0,0,0,0,0
dev_nextglabs,0,0,0,0,0,0,0,0,0,0,1,0
dev_bertho-zero,0,0,0,0,1,0,0,0,0,0,0,0
dev_Spartakyste,0,0,0,0,0,0,1,0,0,0,0,0
dev_Noitidart,0,0,0,1,0,0,0,0,0,0,0,0
dev_skinny85,0,1,0,0,0,0,0,0,0,0,0,0
dev_s0nik42,0,0,0,0,2,0,0,0,0,0,0,0
dev_Ghazgkull,0,0,0,0,0,0,0,0,0,0,3,0
dev_snitin315,0,0,0,0,0,1,15,2,0,0,0,0
dev_adbutterfield,0,0,0,1,0,0,0,0,0,0,0,0
dev_ahmadi-akbar,0,1,0,0,0,0,0,0,0,0,0,0
dev_ThanhNghia944,0,1,0,0,0,0,0,0,0,0,0,0
dev_debianw,0,0,0,0,0,0,1,0,0,0,0,0
dev_ThaJay,0,0,0,0,1,0,0,0,0,0,0,0
dev_ndouglas,0,0,0,0,0,0,0,1,0,0,0,0
dev_reisvini1,0,0,0,0,0,0,0,0,0,0,1,1
dev_Naddiseo,0,0,0,0,0,0,0,0,0,0,1,0
dev_tiagosiebler,0,0,0,1,0,0,0,0,0,0,0,0
dev_HagenMorano,0,0,0,0,0,1,0,0,0,0,0,0
dev_thrnd,0,0,0,2,0,0,0,0,0,0,0,0
dev_Alessandro-Barbieri,0,1,0,0,0,0,0,0,0,0,0,0
dev_SobhanAminnejad,0,0,0,1,0,0,0,0,0,0,0,0
dev_matasmaciulaitis,0,0,0,0,0,0,0,0,0,0,0,1
dev_daCapricorn,0,0,0,0,0,0,0,0,0,0,0,1
dev_mackenziekira,1,0,0,0,0,0,0,0,0,0,0,0
dev_spandey1296,1,0,0,0,0,0,0,0,0,0,0,0
dev_leikoilja,1,0,0,0,0,0,0,0,0,0,0,0
dev_brandonpittman,2,0,0,0,0,0,0,0,0,0,0,0
dev_byteit101,0,0,0,6,0,0,0,0,0,0,0,0
dev_afuscella,0,0,1,0,0,0,0,0,0,0,0,0
dev_alan-agius4,0,0,2,0,0,0,0,0,0,0,0,0
dev_gp3gp3gp3,0,1,0,1,0,0,0,0,0,0,1,0
dev_APshenkin,7,1,0,0,0,0,0,0,0,0,0,0
dev_vantreeseba,0,0,0,2,0,0,0,0,0,0,0,0
dev_lukebrandonfarrell,1,1,0,0,0,0,0,0,0,0,0,0
dev_Landria,0,0,0,0,0,0,0,0,1,0,0,0
dev_aline-matos,0,1,0,0,0,0,0,0,0,0,0,0
